Country,CountryCode,2015,2016,2017,2018,2019,2020,2021,2022
El Salvador,SLV,3761.51368,3870.312982,3986.049014,4145.862351,4280.288404,3961.726633,4664.311223,5127.321668
Equatorial Guinea,GNQ,9788.983804,8035.307666,8410.39798,8719.18687,7317.390024,6198.942524,7406.084975,7182.265382
Estonia,EST,17402.03761,18295.34293,20437.76538,23165.84948,23424.48471,23595.24368,27943.70122,28247.09599
Eswatini,SWZ,3583.31129,3339.990401,3824.046783,4021.445556,3818.540484,3372.90461,4068.573816,3986.886637
Ethiopia,ETH,630.3126194,705.6175085,755.7526443,758.2976945,840.4496013,918.6525941,925.0006976,1027.585911
Faroe Islands,FRO,52726.68738,56833.91654,59328.23766,62576.80164,63203.74478,62234.96868,69108.20658,66979.27732
Fiji,FJI,5105.189612,5368.433492,5825.199665,6073.394579,5927.724208,4815.689148,4656.051341,5356.164396
Finland,FIN,42801.90812,43814.02651,46412.13648,49987.62616,48629.85823,49169.71934,53504.69365,50871.93045
France,FRA,36652.92231,37062.53357,38781.04949,41557.85486,40494.89829,39179.74426,43671.30841,40886.25327
French Polynesia,PYF,18252.5142,18726.63947,19743.95902,20614.89437,20093.20858,19185.69777,20230.24105,18984.8511
Gabon,GAB,7090.454634,6722.198223,6975.695192,7694.906051,7523.862281,6680.082665,8635.797144,8820.347337
Gambia,GMB,611.6712191,640.6762653,632.0010242,683.3246328,722.8753563,704.0304628,772.1514505,808.2782815
Georgia,GEO,4014.111651,4062.126978,4356.928016,4722.042423,4696.150586,4255.742993,5023.274384,6674.95696
Germany,DEU,41103.25644,42136.12079,44652.58917,47939.27829,46805.13843,46749.47623,51426.75037,48717.99114
Ghana,GHA,1711.271317,1900.397674,1998.722666,2180.029684,2167.92544,2176.576218,2422.085913,2203.558935
Greece,GRC,18083.87791,17923.96681,18582.08934,19756.99046,19143.88762,17617.29151,20310.68248,20867.26909
Grenada,GRD,8379.621847,8849.513535,9309.261296,9574.310271,9887.920742,8437.536782,9010.5128,9689.0827
Guatemala,GTM,3994.629085,4173.281349,4454.024509,4485.752135,4647.807541,4609.897258,5029.477555,5473.208564
Guinea,GIN,756.4255898,720.4732552,843.4642792,944.4172687,1043.899886,1073.659339,1189.175999,1515.167948
Guinea-Bissau,GNB,585.9570126,642.6663901,718.2457378,781.6443676,730.6114323,710.258133,795.118605,775.8289657
